no;model;tahun; harga ;transmisi;jarak_tempuh;bahan_bakar; pajak ;mpg;ukuran_mesin; harga_awal ;selisih tahun
142;Mitsubishi T120SS 3-WAY WIDE DECK;2019;Rp109.000.000,00;Manual;75421;Petrol/Gasoline/Bensin;Rp2.800.000,00;25;1,5;Rp100.000.000,00;4
143;Mitsubishi T120SS T ;2013;Rp109.000.000,00;Manual;150000;Diesel/Solar;Rp2.800.000,00;25;1,5;Rp80.000.000,00;10
144;Honda CR-V;2012;Rp530.000.000,00;Manual;24089;Petrol/Gasoline/Bensin;Rp3.200.000,00;30;2;Rp350.000.000,00;11
145;Nissan March;2017;Rp185.800.000,00;Manual;27469;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,2;Rp125.000.000,00;6
146;Toyota Etios Valco;2014;Rp150.000.000,00;Manual;36248;Petrol/Gasoline/Bensin;Rp2.000.000,00;23;1,3;Rp135.000.000,00;9
147;Honda Brio;2020;Rp165.900.000,00;Manual;12340;Petrol/Gasoline/Bensin;Rp2.000.000,00;28;1,4;Rp120.000.000,00;3
148;Honda Jazz;2017;Rp255.000.000,00;Automatic;37999;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,5;Rp180.000.000,00;6
149;Toyota Fortuner;2011;Rp556.000.000,00;Manual;36100;Diesel/Solar;Rp4.000.000,00;30;2;Rp395.000.000,00;12
150;Toyota Kijang Invova;2018;Rp371.000.000,00;Manual;16444;Diesel/Solar;Rp4.000.000,00;30;2;Rp250.000.000,00;5
151;Daihatsu Xenia;2015;Rp218.500.000,00;Manual;25499;Petrol/Gasoline/Bensin;Rp1.500.000,00;22;1;Rp125.000.000,00;8
152;Daihatsu Gran Max;2022;Rp169.000.000,00;Manual;50584;Petrol/Gasoline/Bensin;Rp3.200.000,00;22;1,5;Rp100.000.000,00;1
153;Suzuki Carry Futura;2016;Rp150.000.000,00;Manual;18389;Petrol/Gasoline/Bensin;Rp2.000.000,00;23;1,3;Rp100.000.000,00;7
154;Daihatsu Gran Max;2018;Rp225.000.000,00;Manual;28321;Petrol/Gasoline/Bensin;Rp3.200.000,00;22;1,5;Rp120.000.000,00;5
155;Toyota Avanza;2018;Rp235.000.000,00;Automatic;14000;Petrol/Gasoline/Bensin;Rp3.200.000,00;23;1,3;Rp100.000.000,00;5
156;Mitsubishi L300;2022;Rp224.000.000,00;Manual;21000;Diesel/Solar;Rp3.200.000,00;22;1,5;Rp120.000.000,00;1
157;Daihatsu Grand Max Delvan;2018;Rp148.000.000,00;Manual;20219;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,3;Rp150.000.000,00;5
158;Isuzu Kijang Phanter;2016;Rp287.000.000,00;Manual;8912;Diesel/Solar;Rp3.200.000,00;30;2;Rp250.000.000,00;7
159;Toyota Avanza;2011;Rp295.000.000,00;Automatic;28335;Petrol/Gasoline/Bensin;Rp2.000.000,00;23;1,3;Rp125.000.000,00;12
160;Toyota Hilux Single Cap;2017;Rp208.800.000,00;Manual;10089;Petrol/Gasoline/Bensin;Rp3.800.000,00;30;2;Rp250.000.000,00;6
